Timestamp,SecurityId,Best_Bid_Price,Best_Bid_Qty,Best_Ask_Price,Best_Ask_Qty
2026-08-11T08:18:49.007344,1333,729.75,307.0,729.95,305.0
2026-08-11T08:18:49.007699,11915,22.69,43928.0,22.7,40378.0
2026-08-11T08:18:49.008018,3456,347.7,208.0,347.8,3.0
2026-08-11T08:18:49.008318,13538,1646.6,106.0,1646.9,3.0
2026-08-11T08:18:50.010441,1333,729.75,36.0,729.85,157.0
2026-08-11T08:18:50.010709,11915,22.69,43878.0,22.7,40378.0
2026-08-11T08:18:50.010971,3456,347.7,208.0,347.8,3.0
2026-08-11T08:18:50.011209,13538,1646.6,107.0,1646.8,1.0
2026-08-11T08:18:51.013040,1333,729.75,36.0,729.85,157.0
2026-08-11T08:18:51.013288,11915,22.69,43878.0,22.7,39851.0
2026-08-11T08:18:51.013501,3456,347.65,64.0,347.8,429.0
2026-08-11T08:18:51.013767,13538,1646.7,27.0,1646.9,3.0
2026-08-11T08:18:52.015672,1333,729.65,208.0,729.85,358.0
2026-08-11T08:18:52.015958,11915,22.69,43225.0,22.7,39851.0
2026-08-11T08:18:52.016177,3456,347.65,65.0,347.8,629.0
2026-08-11T08:18:52.016415,13538,1646.8,1.0,1647.1,35.0
2026-08-11T08:18:53.018174,1333,729.75,30.0,729.85,33.0
2026-08-11T08:18:53.018579,11915,22.69,41091.0,22.7,39851.0
2026-08-11T08:18:53.018858,3456,347.7,1.0,347.8,485.0
2026-08-11T08:18:53.019099,13538,1646.6,94.0,1646.7,1.0
2026-08-11T08:18:54.020767,1333,729.75,64.0,729.85,307.0
2026-08-11T08:18:54.021030,11915,22.69,41091.0,22.7,39851.0
2026-08-11T08:18:54.021361,3456,347.75,120.0,347.8,485.0
2026-08-11T08:18:54.021684,13538,1646.6,131.0,1646.7,1.0
2026-08-11T08:18:55.023350,1333,729.8,20.0,729.85,114.0
2026-08-11T08:18:55.023649,11915,22.69,40437.0,22.7,39851.0
2026-08-11T08:18:55.023954,3456,347.75,120.0,347.8,296.0
2026-08-11T08:18:55.024209,13538,1646.6,119.0,1646.8,1.0
2026-08-11T08:18:56.026235,1333,729.8,18.0,729.85,104.0
2026-08-11T08:18:56.026695,11915,22.69,40437.0,22.7,39851.0
2026-08-11T08:18:56.027006,3456,347.75,120.0,347.8,278.0
2026-08-11T08:18:56.027209,13538,1646.6,118.0,1646.8,1.0
2026-08-11T08:18:57.028700,1333,729.75,59.0,729.85,98.0
2026-08-11T08:18:57.028962,11915,22.69,40437.0,22.7,40597.0
2026-08-11T08:18:57.029184,3456,347.75,120.0,347.8,278.0
2026-08-11T08:18:57.029393,13538,1646.7,37.0,1646.8,1.0
2026-08-11T08:18:58.031218,1333,729.75,64.0,729.85,259.0
2026-08-11T08:18:58.031434,11915,22.69,40437.0,22.7,40597.0
2026-08-11T08:18:58.031605,3456,347.75,120.0,347.8,268.0
2026-08-11T08:18:58.031764,13538,1646.7,144.0,1647.2,1036.0
2026-08-11T08:18:59.033436,1333,729.75,51.0,729.85,259.0
2026-08-11T08:18:59.033809,11915,22.69,40417.0,22.7,40597.0
2026-08-11T08:18:59.034059,3456,347.75,120.0,347.8,487.0
2026-08-11T08:18:59.034302,13538,1646.7,174.0,1647.0,3.0
2026-08-11T08:19:00.036063,1333,729.6,2136.0,729.8,296.0
2026-08-11T08:19:00.036354,11915,22.69,40417.0,22.7,40597.0
2026-08-11T08:19:00.036625,3456,347.75,120.0,347.8,487.0
2026-08-11T08:19:00.036821,13538,1646.9,36.0,1647.0,3.0
2026-08-11T08:19:01.038568,1333,729.75,3.0,729.8,296.0
2026-08-11T08:19:01.038939,11915,22.69,40417.0,22.7,40597.0
2026-08-11T08:19:01.039330,3456,347.75,120.0,347.8,627.0
2026-08-11T08:19:01.039667,13538,1646.9,51.0,1647.0,3.0
2026-08-11T08:19:02.041354,1333,729.7,50.0,729.8,296.0
2026-08-11T08:19:02.041596,11915,22.69,40373.0,22.7,40597.0
2026-08-11T08:19:02.041731,3456,347.75,120.0,347.8,627.0
2026-08-11T08:19:02.041841,13538,1646.9,51.0,1647.0,4.0
2026-08-11T08:19:03.043537,1333,729.7,48.0,729.8,747.0
2026-08-11T08:19:03.043796,11915,22.69,40240.0,22.7,40597.0
2026-08-11T08:19:03.044018,3456,347.75,121.0,347.8,481.0
2026-08-11T08:19:03.044217,13538,1646.9,30.0,1647.0,6.0
2026-08-11T08:19:04.046083,1333,729.75,64.0,729.8,1082.0
2026-08-11T08:19:04.046291,11915,22.69,40340.0,22.7,40067.0
2026-08-11T08:19:04.046469,3456,347.75,121.0,347.8,481.0
2026-08-11T08:19:04.046649,13538,1646.9,101.0,1647.0,2.0
2026-08-11T08:19:05.048307,1333,729.75,60.0,729.8,1193.0
2026-08-11T08:19:05.048581,11915,22.69,40340.0,22.7,40067.0
2026-08-11T08:19:05.048841,3456,347.75,121.0,347.8,481.0
2026-08-11T08:19:05.049082,13538,1646.9,101.0,1647.0,3.0
2026-08-11T08:19:06.050833,1333,729.75,33.0,729.8,1134.0
2026-08-11T08:19:06.051090,11915,22.69,40340.0,22.7,40576.0
2026-08-11T08:19:06.051241,3456,347.75,121.0,347.8,846.0
2026-08-11T08:19:06.051368,13538,1646.9,59.0,1647.0,6.0
2026-08-11T08:19:07.053217,1333,729.75,8.0,729.8,875.0
2026-08-11T08:19:07.053432,11915,22.69,42450.0,22.7,40067.0
2026-08-11T08:19:07.053680,3456,347.75,121.0,347.8,800.0
2026-08-11T08:19:07.053903,13538,1646.9,59.0,1647.0,6.0
2026-08-11T08:19:08.055632,1333,729.75,5.0,729.8,865.0
2026-08-11T08:19:08.055869,11915,22.69,42450.0,22.7,40067.0
2026-08-11T08:19:08.056122,3456,347.75,120.0,347.8,798.0
2026-08-11T08:19:08.056378,13538,1646.9,83.0,1647.0,3.0
2026-08-11T08:19:09.058079,1333,729.75,7.0,729.8,720.0
2026-08-11T08:19:09.058207,11915,22.69,42959.0,22.7,36952.0
2026-08-11T08:19:09.058516,3456,347.75,120.0,347.8,653.0
2026-08-11T08:19:09.058802,13538,1647.1,14.0,1647.2,812.0
2026-08-11T08:19:10.060747,1333,729.6,1341.0,729.8,679.0
2026-08-11T08:19:10.061170,11915,22.69,42959.0,22.7,39952.0
2026-08-11T08:19:10.061610,3456,347.75,120.0,347.8,648.0
2026-08-11T08:19:10.061965,13538,1647.1,14.0,1647.2,814.0
2026-08-11T08:19:11.063696,1333,729.7,5.0,729.8,1152.0
2026-08-11T08:19:11.063923,11915,22.69,42959.0,22.7,39952.0
2026-08-11T08:19:11.064136,3456,347.7,1238.0,347.8,437.0
2026-08-11T08:19:11.064296,13538,1647.1,14.0,1647.2,805.0
2026-08-11T08:19:12.066091,1333,729.6,139.0,729.8,1140.0
